id,nombre,fuentes,genero,fecha,municipio,departamento,tipo_de_lider,cargo,fuentes_prensa,año,dia
espolita-casiana-teheran,Espolita Casiana Teheran Acosta,"Indepaz,Somos Defensores,Col. Abogados JAR",Femenino,2016-10-13,Cáceres,Antioquia,"Líder comunitario,Líder indígena",Líder fundadora de la Asociación de Desplazados de Cáceres (Asodesplazca),"http://www.elespectador.com/noticias/nacional/antioquia/hombres-armados-asesinaron-dos-mujeres-caceres-antioqui-articulo-660512,http://www.ipc.org.co/agenciadeprensa/index.php/2016/10/14/hombres-armados-asesinaron-a-dos-mujeres-en-caceres-antioquia/,http://caracol.com.co/emisora/2016/10/15/medellin/1476493704_980738.html,http://m.elcolombiano.com/una-lider-de-desplazados-y-una-indigena-fueron-asesinadas-CD5173127",2016,10
lina-sierra-salcedo,Lina Sierra Salcedo,"Indepaz,Col. Abogados JAR",Femenino,2016-10-13,Cáceres,Antioquia,Líder indígena,Miembro de la comunidad indígena Omagá,"http://www.elespectador.com/noticias/nacional/antioquia/hombres-armados-asesinaron-dos-mujeres-caceres-antioqui-articulo-660512,http://www.ipc.org.co/agenciadeprensa/index.php/2016/10/14/hombres-armados-asesinaron-a-dos-mujeres-en-caceres-antioquia/,http://caracol.com.co/emisora/2016/10/15/medellin/1476493704_980738.html,http://m.elcolombiano.com/una-lider-de-desplazados-y-una-indigena-fueron-asesinadas-CD5173127",2016,10
yimer-chavez-rivera,Yimer Alberto Chávez Rivera,Prensa,Masculino,2016-10-16,La Sierra,Cauca,Líder campesino o agrario,Líder de la guardia campesina de la vereda Frontino Bajo en jurisdicción de La Sierra (Cauca).,https://www.lapazenelterreno.com/node/96,2016,10
didier-losada,Didier Losada,"Prensa,Indepaz,Somos Defensores,Col. Abogados JAR",Masculino,2016-11-18,La Macarena,Meta,Líder comunal - JAC,Presidente de Junta de Accion Comunal,"http://justiciaypazcolombia.com/Asesinato-del-senor-Didier-Losada-Barreto,http://www.elespectador.com/noticias/judicial/cuatro-atentados-contra-lideres-sociales-menos-de-48-ho-articulo-666454,http://caracol.com.co/radio/2016/11/21/regional/1479691116_565679.html",2016,11
marcelina-canacue,Marcelina Canacue,"Prensa,Indepaz,Somos Defensores,Col. Abogados JAR",Femenino,2016-11-25,Neiva,Huila,Líder comunal - JAC,Miembro de la Junta de Acción Comunal de la vereda Versalles,"http://www.lafm.com.co/nacional/marcelina-canacue-lider-social-huila-fue-asesinada/,http://www.semana.com/nacion/articulo/asesinato-de-lider-en-el-huila-marcelina-canacue/506707,https://www.elheraldo.co/colombia/asesinan-lider-comunal-marcelina-canacue-en-el-huila-305607",2016,11
diomedes-perdomo,Diomedes Perdomo,Col. Abogados JAR,Masculino,2016-11-30,Planadas,Tolima,Líder indígena,Autoridad Indígena,"http://www.onic.org.co/comunicados-de-otros-sectores/1577-gobierno-mayor-denuncia-asesinato-de-un-mayor-indigena-nasa-en-el-sur-del-tolima,http://www.contagioradio.com/lider-indigena-del-cauca-amenzado-por-los-urabenos-articulo-33265/,http://www.pacocol.org/index.php?option=com_content&view=article&id=19828:debate-publico-nacional-sobre-crimenes-contra-lideres-sociales-defensoras-y-defensores-de-d-h&catid=86&Itemid=472",2016,11
marly-yuliet-gomez,Marly Yuliet Gomez,"Indepaz,Col. Abogados JAR",Femenino,2016-12-01,Puracé,Cauca,Líder indígena,Comerciante,"http://www.eltiempo.com/colombia/otras-ciudades/hallan-a-dos-mujeres-muertas-en-cauca-49300,https://www.elespectador.com/noticias/judicial/asesinadas-dos-mujeres-indigenas-de-purace-cauca-articulo-668437",2016,12
shirley-dayana-lozada,Shirley Dayana Lozada Ramírez,"Indepaz,Col. Abogados JAR",Femenino,2016-12-01,Puracé,Cauca,Líder indígena,Comerciante,"http://www.eltiempo.com/colombia/otras-ciudades/hallan-a-dos-mujeres-muertas-en-cauca-49300,https://www.elespectador.com/noticias/judicial/asesinadas-dos-mujeres-indigenas-de-purace-cauca-articulo-668437",2016,12
nataly-salas,Nataly Salas,"Prensa,Pacifista,Indepaz",Femenino,2016-12-03,Montería,Córdoba,Líder comunitario,Estudiante,https://www.elheraldo.co/cordoba/nataly-salas-la-universitaria-asesinada-en-monteria-que-se-volvio-referente-contra-el,2016,12
gilmar-alejandro-possu,Gilmar Alejandro Possú,"Prensa,Indepaz,Col. Abogados JAR",Masculino,2016-12-09,Villa Rica,Cauca,"Líder juvenil,Líder indígena",Gestor de paz de Villa Rica y líder de consejos comunitarios,http://www.wradio.com.co/noticias/regionales/lider-afro-asesinado-habia-denunciado-amenazas-en-cauca/20161209/nota/3326826.aspx,2016,12
carlos-jimenez,Carlos Jiménez,Indepaz,Masculino,2016-12-11,Bahía Solano,Chocó,Líder afrodescendiente,Consejo comunitario Delfines,http://www.indepaz.org.co/wp-content/uploads/2017/02/Informe-final-2016-Indepaz-2-paramiliatares.pdf,2016,12
denver-potes-giron,Denver Potes Girón,Indepaz,Masculino,2016-12-11,Bahía Solano,Chocó,Líder afrodescendiente,Consejo comunitario Delfines,http://www.indepaz.org.co/wp-content/uploads/2017/02/Informe-final-2016-Indepaz-2-paramiliatares.pdf,2016,12
rafael-lubo-aguilar,Rafael Lubo Aguilar,"Somos Defensores,Defensoría",Masculino,2016-12-11,Riohacha,La Guajira,Líder indígena,Representante de la comunidad,https://laguajirahoy.com/2017/02/sentencia-de-muerte-wayuu.html,2016,12
anuar-jose-alvarez,Anuar José Álvarez,"Prensa,Pacifista,Somos Defensores",Masculino,2016-12-25,Argelia,Cauca,Líder campesino o agrario,Miembro de la Asociación Campesina de Trabajadores de Argelia (Ascanta),http://www.eltiempo.com/colombia/cali/otro-lider-campesino-asesinado-en-cauca-34152;http://rutasdelconflicto.com/tras-el-acuerdo/node/100,2016,12
yaneth-alejandra-calvache,Yaneth Alejandra Calvache,"Prensa,Pacifista,Somos Defensores",Femenino,2016-12-30,Balboa,Cauca,Líder campesino o agrario,"Miembro de PUPSOC Proceso de Unidad Popular del Suroccidente Colombiano, líder de ASCATBAL Asociación de Trabajadores Campesinos de Balboa",https://vidassilenciadas.org/victimas/37206/,2016,12
karla-baez-torres,Karla Báez Torres,"Prensa,Indepaz,ONU,Somos Defensores",Transgénero,2017-01-02,Cúcuta,Norte de Santander,Líder LGBTI,Miembro de la Asociación de Chicas Trans de Norte de Santander,https://lapazenelterreno.com/node/105,2017,01
aldemar-parra-garcia,Aldemar Parra García,"Prensa,Pacifista,Indepaz,ONU,Somos Defensores",Masculino,2017-01-07,El Haltillo,Cesar,Líder comunitario,Presidente de la Asociación Apícola del Cesar,http://pacifista.co/estos-son-los-22-los-lideres-sociales-asesinados-desde-el-inicio-de-la-implementacion/;  http://www.drummondltd.com/respuesta-de-drummond-a-la-declaracion-sobre-el-asesinato-de-aldemar-parra-garcia-firmada-por-varias-ong/;  http://www.verdadabierta.com/victimas-seccion/los-resistentes/6521-alerta-comunidad-de-el-hatillo-en-cesar-esta-en-riesgo,2017,01
olmedo-pinto-garcia,Olmedo Pinto García,"Prensa,Pacifista,Indepaz,Defensoría",Masculino,2017-01-10,Caloto,Cauca,Líder indígena,Miembro del Movimiento sin Tierra,http://pacifista.co/estos-son-los-22-los-lideres-sociales-asesinados-desde-el-inicio-de-la-implementacion/;  http://www.elespectador.com/noticias/judicial/asesinato-de-lider-caucano-esta-manos-de-jurisdiccion-i-articulo-674057,2017,01
emilsen-manyoma,Emilsen Manyoma,"Prensa,Pacifista,Indepaz,ONU,Somos Defensores",Femenino,2017-01-14,Buenaventura,Valle del Cauca,Líder comunitario,Lideresa de Derechos Humanos del Bajo Calima y pertenecía a la Red Conpaz,https://www.elespectador.com/noticias/judicial/emilsen-manyoma-otra-defensora-de-derechos-humanos-ases-articulo-675257,2017,01
angel-yunda,Ángel Yunda,"Prensa,Indepaz,Defensoría",Masculino,2017-01-15,Suárez,Cauca,Líder indígena,Cabildo Cerro Tijeras - Asociación de Cabildos Indígenas del Norte del Cauca - ACIN ,http://caracol.com.co/emisora/2017/01/18/popayan/1484738545_029607.html,2017,01
jairo-andres-mosquera,Jairo Andrés Mosquera,"Prensa,Indepaz,Defensoría",Masculino,2017-01-15,Suárez,Cauca,"Líder comunitario,Líder indígena",Cabildo Cerro Tijeras - Asociación de Cabildos Indígenas del Norte del Cauca - ACIN ,http://caracol.com.co/emisora/2017/01/18/popayan/1484738545_029607.html,2017,01
nelly-amaya-perez,Nelly Amaya Perez,"Indepaz,Somos Defensores,Col. Abogados JAR",Femenino,2017-01-17,San Calixto,Norte de Santander,Líder comunal - JAC,Pesidente de la Junta de la Acción Comunal del barrio Guamalito en el municipio de San Calixto,http://prensarural.org/spip/spip.php?article18501,2017,01
yoryanis-isabel-bernal,Yoryanis Isabel Bernal Varela,"Prensa,Pacifista,Indepaz,ONU,Somos Defensores",Femenino,2017-01-26,Valledupar,Cesar,Líder indígena,Defensora de los derechos de la mujer Wiwa,https://www.elheraldo.co/cesar/mujer-asesinada-en-valledupar-era-lider-wiwa-defensora-de-derechos-humanos-323624,2017,01
jose-arbey-mensa,Jose Arbey Mensa,"Indepaz,Defensoría",Masculino,2017-02-05,Santander de Quilichao,Cauca,Líder indígena,Resguardo La Concepción Buenos Aires. Asociación de Cabildos Indígenas del Norte del Cauca - ACIN,https://www.proclamadelcauca.com/asesinaron-dos-jovenes-quilichao/,2017,02
leonardo-cano,Leonardo Cano,"Prensa,Indepaz",Masculino,2017-02-06,Suárez,Cauca,Líder indígena,Líder indígena del resguardo Cerro Tijeras. Asociación de Cabildos Indígenas del Norte del Cauca - ACIN,http://www.wradio.com.co/noticias/regionales/denuncian-asesinato-del-esposo-de-una-lider-indigena-en-cauca/20170209/nota/3379130.aspx; http://www.radiosuperpopayan.com/2017/02/10/asesinan-al-esposo-tesorera-del-cabildo-cerro-tijeras/,2017,02
luz-herminia-olarte,Luz Herminia Olarte,"Prensa,Pacifista,Indepaz",Femenino,2017-02-07,Yarumal,Antioquia,Líder comunal - JAC,"Miembro de la Junta de Acción Comunal de la vereda Las Cruces del corregimiento El Llano, de Yarumal",http://www.udea.edu.co/wps/portal/udea/web/inicio/udea-noticias/udea-noticia/!ut/p/z0/fYy9CsJAEIRfxSZl2FXjqWWwEMTCQiS5RpbcYVYvt_m5iPj0JlqIjc0wM3wzoCED7enOFwosntyQc63Oq_VmNk0T3KNKFKbqkCyWs-38eELYgf4PDA98bRqdgi7EB_sIkNXSBnK9sRQhdb-plMp-_KgTL4ELpi7C99qzkZH61p0UbA2ZCF3_jEvbVuyZYnHUBgv1TecvsVCV4g!!/,2017,02
danna-mendez-berrio,Danna Méndez Berrío,"Prensa,ONU,Somos Defensores",Transgénero,2017-02-11,Chaparral,Tolima,Líder LGBTI,Miembro de la ONG Chaparral Diversa,http://www.eltiempo.com/datos/asesinatos-de-lideres-y-defensores-de-derechos-humanos-122780,2017,02
erika-yisel-galindez,Érika Yisel Galindez,"Prensa,Indepaz",Femenino,2017-02-13,El Tambo,Cauca,Líder comunitario,Auxiliar de enfermería,https://noticias.caracoltv.com/cali/conmocion-en-cauca-por-asesinato-de-auxiliar-de-enfermeria-y-lider-de-la-region,2017,02
eder-cuetia-conda,Éder Cuetia Conda,"Prensa,Pacifista,Indepaz,ONU,Somos Defensores",Masculino,2017-02-26,Corinto,Cauca,Líder indígena,Comunero del Resguardo López Adentro. Integrante de la Junta de Acción Comunal de la vereda Siberia y del Movimiento Político y Social Marcha Patriótica,http://pacifista.co/estos-son-los-22-los-lideres-sociales-asesinados-desde-el-inicio-de-la-implementacion/,2017,02
ruth-alicia-lopez,Ruth Alicia López Guisao,"Prensa,Pacifista,Indepaz,ONU,Somos Defensores",Femenino,2017-03-02,Medellín,Antioquia,Líder campesino o agrario,Acompañaba el proyecto de la Cumbre Agraria en el departamento colombiano del Chocó,http://www.telesurtv.net/news/Asesinan-a-la-lider-social-Alicia-Lopez-Guisao-en-Colombia-20170302-0049.html,2017,03
luz-angela-anzola,Luz Ángela Anzola Tejedor,"Prensa,Pacifista,Indepaz",Femenino,2017-03-05,Mesetas,Meta,Líder sindical,Miembro del Partido Comunista y del Sindicato de Trabajadores Agrícolas Independientes del Meta (SINTRAGRIM),https://www.telesurtv.net/news/Dos-nuevos-lideres-campesinos-asesinados-en-Meta-Colombia-20170306-0057.html; http://www.contagioradio.com/asesinados-dos-integrantes-del-sindicato-de-trabajadores-agricolas-en-el-meta-articulo-37307/; http://hsbnoticias.com/noticias/judicial/conmocion-en-mesetas-meta-por-el-asesinato-de-dos-hermanos-287323,2017,03
albenio-isaias-rosero,Albenio Isaias Rosero,"Prensa,Pacifista,ONU,Somos Defensores",Masculino,2017-03-27,Valle del Guamuez,Putumayo,Líder comunal - JAC,Junta de Acción Comunal de la vereda La Unión del municipio de Guamuéz en Putumayo,http://pacifista.co/45-lideres-sociales-asesinados-inicio-implementacion/; https://colombiareports.com/another-community-leader-assassinated-colombia-28-since-peace-process-began/; http://rutasdelconflicto.com/tras-el-acuerdo/node/59,2017,03
josefina-cuetia-ramos,Josefina Cuetia Ramos,"Prensa,Indepaz",Femenino,2017-04-04,Jambaló,Cauca,Líder indígena,"Comunera del resguardo indígena de Jambaló, Oriente del Cauca",http://www.radio1040am.com/paginas/jambalo-cauca-colombia http://www.onic.org.co/comunicados-regionales/1744-autoridades-del-acin-cxhab-wala-kiwe-reactivan-control-territorial-en-el-norte-del-cauca,2017,04
gustavo-ortega,Gustavo Ortega,ONU,Masculino,2017-04-04,Barranquilla,Atlántico,Líder comunitario,Miembro,http://caracol.com.co/emisora/2017/09/01/barranquilla/1504269699_664240.html,2017,04
ever-goyes,Ever Goyes,Indepaz,Masculino,2017-04-16,Ricaurte,Nariño,Líder indígena,Miembro del resguardo de Pulgande Tronqueria Palicito del Municipio de Barbacoas,http://www.onic.org.co/comunicados-regionales/1771-el-exterminio-contra-nuestro-pueblo-indigena-awa-continua; http://www.elcolombiano.com/colombia/paz-y-derechos-humanos/ola-de-asesinatos-de-indigenas-en-colombia-CF6373343,2017,04
gerson-acosta-salazar,Gerson Acosta Salazar,"Prensa,Pacifista,Indepaz,ONU,Somos Defensores",Masculino,2017-04-19,Timbío,Cauca,Líder indígena,Autoridad indígena Newexs,https://www.elespectador.com/noticias/judicial/asesinan-gerson-acosta-salazar-lider-indigena-del-cauca-articulo-690047; http://www.onic.org.co/comunicados-regionales/1770-asesinado-el-gobernador-indigena-del-resguardo-kite-kiwe-del-cauca-gerson-acosta,2017,04
alberto-roman-acosta,Alberto Román Acosta,"Prensa,Pacifista,Indepaz,ONU,Somos Defensores",Masculino,2017-05-03,El Cerrito,Valle del Cauca,Líder sindical,Presidente Sintrainagro Guacarí,http://www.elpais.com.co/judicial/asesinan-a-lider-sindical-en-el-cerrito-valle.html; https://policia.gov.co/noticia/policia-captura-presuntos-homicidas-del-presidente-sintrainagro,2017,05
daniel-felipe-castro,Daniel Felipe Castro Basto,"Prensa,Indepaz,Somos Defensores",Masculino,2017-05-09,Corinto,Cauca,Líder indígena,"Cabildo Páez, territorios ancestral de Corinto",https://somosdefensores.org/images/informe-semestral-enero-junio-2017-SIADDHH.pdf,2017,05
argemiro-tovar,Argemiro Tovar,"Prensa,Indepaz",Masculino,2017-05-12,El Bagre,Antioquia,Líder campesino o agrario,Miembro,https://www.prensarural.org/spip/spip.php?article21488,2017,05
katherine-escalante-castilla,Katherine Escalante Castilla,"Prensa,Indepaz,ONU,Somos Defensores",Femenino,2017-05-15,Palmas del Socorro,Santander,Líder comunitario,Miembro de la Defensa Civil de Aguachica,http://www.vanguardia.com/judicial/400894-asi-fue-el-crimen-de-la-lider-de-la-defensa-civil-en-santander,2017,05
jose-reyes-guerrero,José Reyes Guerrero Gaitán,"Prensa,Indepaz,Somos Defensores",Masculino,2017-05-17,Chiringuaná,Cesar,Líder comunitario,Ganadero,https://somosdefensores.org/images/informe-semestral-enero-junio-2017-SIADDHH.pdf,2017,05
alvaro-arturo-tenorio,Álvaro Arturo Tenorio Cabezas,"Prensa,Pacifista,Indepaz",Masculino,2017-05-19,Maguí Payán,Nariño,Líder indígena,"Miembro de Movimiento Étnico y Popular del Pacífico, de la Coordinación Nacional de Cultivadores de Coca Amapola y Marihuana, y del Movimiento Político y Social Marcha Patriótica en Nariño.",http://pacifista.co/atencion-asesinan-de-10-disparos-a-dirigente-campesino-en-narino/?fbclid=IwAR3QzajNA1-2RtUjFY1bi9yFP5mWXT8LOccWpxjfJY_5IW5YBaywZYQF5X0; http://hsbnoticias.com/noticias/judicial/en-magui-balean-reconocido-lider-307314,2017,05
edenis-barrera-benavides,Edenis Barrera Benavides,"Prensa,Indepaz,ONU,Somos Defensores",Femenino,2017-05-21,Aguazul,Casanare,Líder comunitario,Voluntaria de la Defensa Civil,https://somosdefensores.org/images/informe-semestral-enero-junio-2017-SIADDHH.pdf; http://www.semana.com/nacion/articulo/atroz-asesinato-de-edenis-barrera-benavides-lider-social-de-casanare/519169; http://prensalibrecasanare.com/judicial/26048-asesino-de-voluntaria-de-la-defensa-civil-edenis-barrera-fue-condenado-a-32-asos-de-cbrcel.html,2017,05
efren-santo,Efren Santo,"Prensa,Indepaz,Somos Defensores,Defensoría",Masculino,2017-06-03,Rio Sucio,Chocó,Líder afrodescendiente,Presidente del Consejo Comunitario del Truandó,https://somosdefensores.org/images/informe-semestral-enero-junio-2017-SIADDHH.pdf,2017,06
wilmar-barona,Wilmar Felipe Barona,"Prensa,Indepaz,ONU,Somos Defensores",Masculino,2017-06-04,Cali,Valle del Cauca,Líder comunal - JAC,Dirigente,http://pacifista.co/cinco-casos-de-lideres-asesinados-en-los-que-estaria-implicada-la-fuerza-publica/,2017,06
washington-cedeño,Washington Cedeño Otero,"Prensa,Indepaz,Somos Defensores",Masculino,2017-06-07,Puerto Escondido,Córdoba,Líder comunal - JAC,Miembro,https://www.elespectador.com/noticias/nacional/asesinan-tiros-profesor-en-zona-rural-de-puerto-escondido-cordoba-articulo-697266,2017,06
